customer_id,age,gender,city,occupation,annual_income,card_type,credit_limit,join_date,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,avg_txn_value,total_spend,credit_utilization,clv_simple,is_outlier_spend,cluster,cluster_label,credit_risk
C00001,59,M,Bangalore,Salaried,53492.97,Platinum,500000,2021-11-10,8,39,300829.65,4,4,3,443,Loyal,7713.58076923077,300829.65,0.6016593,601659.3,False,0,Mid Value,Medium Risk
C00002,31,M,Bangalore,Salaried,85462.99,Platinum,500000,2022-01-28,98,33,302059.2,1,2,3,123,At Risk,9153.309090909092,302059.2,0.6041184,604118.4,False,3,High Value,Medium Risk
C00003,22,M,Lucknow,Business Owner,76992.86,Silver,100000,2021-08-13,1,40,217947.38,5,4,1,541,Loyal,5448.6845,217947.38,1.0,435894.76,False,2,Low Value,High Risk
C00004,64,F,Lucknow,Salaried,73539.84,Silver,100000,2020-04-19,5,38,325621.95,5,4,3,543,Loyal,8568.998684210526,325621.95,1.0,651243.9,False,2,Low Value,High Risk
C00005,36,M,Jaipur,Salaried,62468.68,Gold,250000,2024-03-14,12,43,510728.08,3,5,5,355,Loyal,11877.397209302326,510728.08,1.0,1021456.16,False,1,Premium,High Risk
C00006,27,M,Jaipur,Retired,65083.99,Silver,100000,2019-06-16,36,35,283127.89,1,3,2,132,Regular,8089.368285714286,283127.89,1.0,566255.78,False,2,Low Value,High Risk
C00007,29,M,Delhi,Salaried,93375.78,Gold,250000,2021-02-14,4,46,265221.01,5,5,2,552,Loyal,5765.6741304347825,265221.01,1.0,530442.02,False,2,Low Value,High Risk
C00008,60,M,Lucknow,Business Owner,36967.07,Platinum,500000,2021-10-18,10,32,291779.54,4,2,3,423,New,9118.110625,291779.54,0.58355908,583559.08,False,0,Mid Value,Medium Risk
C00009,49,M,Ahmedabad,Student,92154.0,Silver,100000,2023-10-17,8,26,282219.21,4,1,2,412,New,10854.585000000001,282219.21,1.0,564438.42,False,2,Low Value,High Risk
C00010,38,M,Jaipur,Salaried,75141.05,Gold,250000,2021-03-02,61,32,186052.68,1,2,1,121,At Risk,5814.14625,186052.68,0.74421072,372105.36,False,3,High Value,Medium Risk
C00011,21,M,Bangalore,Self Employed,68693.9,Gold,250000,2020-10-09,16,37,338523.04000000004,3,4,4,344,Loyal,9149.271351351352,338523.04000000004,1.0,677046.0800000001,False,2,Low Value,High Risk
C00012,55,M,Hyderabad,Self Employed,61740.97,Platinum,500000,2020-01-14,15,34,284804.15,3,2,2,322,Regular,8376.592647058824,284804.15,0.5696083000000001,569608.3,False,0,Mid Value,Medium Risk
