customer_id,age,gender,city,occupation,annual_income,card_type,credit_limit,join_date
C00001,59,M,Bangalore,Salaried,53492.97,Platinum,500000,2021-11-10
C00002,31,M,Bangalore,Salaried,85462.99,Platinum,500000,2022-01-28
C00003,22,M,Lucknow,Business Owner,76992.86,Silver,100000,2021-08-13
C00004,64,F,Lucknow,Salaried,73539.84,Silver,100000,2020-04-19
C00005,36,M,Jaipur,Salaried,62468.68,Gold,250000,2024-03-14
C00006,27,M,Jaipur,Retired,65083.99,Silver,100000,2019-06-16
C00007,29,M,Delhi,Salaried,93375.78,Gold,250000,2021-02-14
C00008,60,M,Lucknow,Business Owner,36967.07,Platinum,500000,2021-10-18
C00009,49,M,Ahmedabad,Student,92154.0,Silver,100000,2023-10-17
C00010,38,M,Jaipur,Salaried,75141.05,Gold,250000,2021-03-02
C00011,21,M,Bangalore,Self Employed,68693.9,Gold,250000,2020-10-09
C00012,55,M,Hyderabad,Self Employed,61740.97,Platinum,500000,2020-01-14
C00013,48,M,Ahmedabad,Self Employed,79937.9,Silver,100000,2021-12-07
C00014,64,M,Kolkata,Retired,99266.35,Gold,250000,2023-04-20
C00015,23,M,Lucknow,Salaried,80841.87,Platinum,500000,2021-05-20
C00016,33,F,Chennai,Business Owner,116141.1,Silver,100000,2021-05-13
C00017,24,M,Hyderabad,Salaried,63409.84,Gold,250000,2022-04-09
C00018,42,F,Jaipur,Salaried,80713.38,Platinum,500000,2020-11-12
C00019,48,M,Hyderabad,Student,54107.19,Platinum,500000,2022-09-16
C00020,59,M,Jaipur,Student,85398.02,Signature,1000000,2022-11-09
C00021,61,M,Bangalore,Salaried,43890.85,Gold,250000,2019-11-14
C00022,44,M,Ahmedabad,Self Employed,54800.7,Signature,1000000,2022-10-29
C00023,32,F,Delhi,Retired,69443.48,Silver,100000,2023-07-07
C00024,48,F,Bangalore,Self Employed,19794.86,Silver,100000,2023-10-26
C00025,64,F,Delhi,Self Employed,128951.04,Gold,250000,2023-01-02
C00026,44,F,Delhi,Salaried,15000.0,Gold,250000,2023-06-22
C00027,26,M,Bangalore,Student,93690.18,Silver,100000,2024-05-09
C00028,40,F,Ahmedabad,Salaried,82944.68,Gold,250000,2024-01-18
C00029,38,F,Lucknow,Salaried,84459.37,Platinum,500000,2024-05-23
C00030,36,M,Delhi,Salaried,97793.69,Platinum,500000,2021-10-13
C00031,32,M,Bangalore,Student,100014.57,Silver,100000,2022-06-10
C00032,53,F,Chennai,Student,74572.63,Gold,250000,2020-08-09
C00033,40,M,Mumbai,Business Owner,15000.0,Signature,1000000,2019-06-02
C00034,55,M,Chennai,Salaried,105058.94,Gold,250000,2023-09-01
C00035,41,F,Delhi,Business Owner,56124.19,Platinum,500000,2022-05-03
C00036,42,F,Pune,Salaried,36625.08,Silver,100000,2021-01-19
C00037,28,F,Delhi,Salaried,106281.46,Gold,250000,2019-10-11
C00038,39,F,Delhi,Retired,86138.8,Gold,250000,2022-04-30
C00039,50,F,Chennai,Salaried,66276.03,Signature,1000000,2022-01-27
C00040,41,M,Mumbai,Business Owner,92210.22,Silver,100000,2022-03-30
C00041,51,F,Delhi,Student,35568.4,Silver,100000,2020-05-04
C00042,29,F,Lucknow,Student,111688.08,Platinum,500000,2022-04-14
C00043,55,M,Chennai,Business Owner,89703.92,Silver,100000,2021-06-21
C00044,36,M,Mumbai,Salaried,26922.98,Silver,100000,2024-03-21
C00045,43,M,Lucknow,Student,33996.05,Silver,100000,2022-04-28
C00046,62,M,Kolkata,Business Owner,106041.41,Platinum,500000,2021-12-13
C00047,64,M,Bangalore,Business Owner,68570.69,Platinum,500000,2021-09-18
C00048,36,F,Bangalore,Self Employed,85560.83,Signature,1000000,2020-09-27
