merchant_id,merchant_category
M0001,Groceries
M0002,Groceries
M0003,Groceries
M0004,Groceries
M0005,Groceries
M0006,Groceries
M0007,Groceries
M0008,Groceries
M0009,Groceries
M0010,Groceries
M0011,Groceries
M0012,Groceries
M0013,Groceries
M0014,Groceries
M0015,Groceries
M0016,Dining
M0017,Dining
M0018,Dining
M0019,Dining
M0020,Dining
M0021,Dining
M0022,Dining
M0023,Dining
M0024,Dining
M0025,Dining
M0026,Dining
M0027,Dining
M0028,Dining
M0029,Dining
M0030,Dining
M0031,Fuel
M0032,Fuel
M0033,Fuel
M0034,Fuel
M0035,Fuel
M0036,Fuel
M0037,Fuel
M0038,Fuel
M0039,Fuel
M0040,Fuel
M0041,Fuel
M0042,Fuel
M0043,Fuel
M0044,Fuel
M0045,Fuel
M0046,Travel
M0047,Travel
M0048,Travel
M0049,Travel
M0050,Travel
M0051,Travel
M0052,Travel
M0053,Travel
M0054,Travel
M0055,Travel
M0056,Travel
M0057,Travel
M0058,Travel
M0059,Travel
M0060,Travel
M0061,Electronics
M0062,Electronics
M0063,Electronics
M0064,Electronics
M0065,Electronics
M0066,Electronics
M0067,Electronics
M0068,Electronics
M0069,Electronics
M0070,Electronics
M0071,Electronics
M0072,Electronics
M0073,Electronics
M0074,Electronics
M0075,Electronics
M0076,Fashion
M0077,Fashion
M0078,Fashion
M0079,Fashion
M0080,Fashion
M0081,Fashion
M0082,Fashion
M0083,Fashion
M0084,Fashion
M0085,Fashion
M0086,Fashion
M0087,Fashion
M0088,Fashion
M0089,Fashion
M0090,Fashion
M0091,Bills & Utilities
M0092,Bills & Utilities
M0093,Bills & Utilities
M0094,Bills & Utilities
M0095,Bills & Utilities
M0096,Bills & Utilities
M0097,Bills & Utilities
M0098,Bills & Utilities
M0099,Bills & Utilities
M0100,Bills & Utilities
M0101,Bills & Utilities
M0102,Bills & Utilities
M0103,Bills & Utilities
M0104,Bills & Utilities
M0105,Bills & Utilities
M0106,Healthcare
M0107,Healthcare
M0108,Healthcare
M0109,Healthcare
M0110,Healthcare
M0111,Healthcare
M0112,Healthcare
M0113,Healthcare
M0114,Healthcare
M0115,Healthcare
M0116,Healthcare
M0117,Healthcare
M0118,Healthcare
M0119,Healthcare
M0120,Healthcare
M0121,Entertainment
M0122,Entertainment
M0123,Entertainment
M0124,Entertainment
M0125,Entertainment
M0126,Entertainment
M0127,Entertainment
M0128,Entertainment
M0129,Entertainment
M0130,Entertainment
M0131,Entertainment
M0132,Entertainment
M0133,Entertainment
M0134,Entertainment
M0135,Entertainment
M0136,Online Shopping
M0137,Online Shopping
M0138,Online Shopping
M0139,Online Shopping
M0140,Online Shopping
M0141,Online Shopping
M0142,Online Shopping
M0143,Online Shopping
M0144,Online Shopping
M0145,Online Shopping
M0146,Online Shopping
M0147,Online Shopping
M0148,Online Shopping
M0149,Online Shopping
M0150,Online Shopping
