customer_id,month,amount
C00001,2024-01,37183.72
C00001,2024-02,901.84
C00001,2024-03,2522.57
C00001,2024-04,12095.849999999999
C00001,2024-05,37772.19
C00001,2024-06,11874.83
C00001,2024-07,14600.11
C00001,2024-08,33639.01
C00001,2024-09,20301.65
C00001,2024-10,5153.1
C00001,2024-11,10771.58
C00001,2024-12,20292.11
C00001,2025-01,11380.12
C00001,2025-02,2527.27
C00001,2025-03,9402.93
C00001,2025-04,1712.58
C00001,2025-05,4483.31
C00001,2025-07,4646.2
C00001,2025-08,4453.76
C00001,2025-09,40002.37
C00001,2025-10,8650.28
C00001,2025-11,2563.75
C00001,2025-12,3898.52
C00002,2024-01,16406.0
C00002,2024-02,780.89
C00002,2024-03,35170.77
C00002,2024-08,93280.96
C00002,2024-09,22459.52
C00002,2024-10,15201.76
C00002,2024-12,15033.38
C00002,2025-01,10279.43
C00002,2025-02,11909.89
C00002,2025-03,29516.87
C00002,2025-05,21939.94
C00002,2025-06,19286.350000000002
C00002,2025-07,1421.5100000000002
C00002,2025-08,8453.9
C00002,2025-09,918.03
C00003,2024-01,2642.21
C00003,2024-02,729.18
C00003,2024-03,783.48
C00003,2024-04,30889.38
C00003,2024-05,1506.61
C00003,2024-06,7502.59
C00003,2024-07,6019.8
C00003,2024-08,25526.9
C00003,2024-09,13839.95
C00003,2024-10,18731.379999999997
C00003,2024-12,16708.16
C00003,2025-02,2354.58
C00003,2025-04,11115.6
C00003,2025-06,1548.71
C00003,2025-07,5653.43
C00003,2025-08,913.67
C00003,2025-09,7488.14
C00003,2025-10,5595.12
C00003,2025-11,8119.56
C00003,2025-12,50278.92999999999
C00004,2024-01,12088.4
C00004,2024-02,13415.300000000001
C00004,2024-03,55717.59
C00004,2024-05,16617.96
C00004,2024-07,46999.56
C00004,2024-08,8606.18
C00004,2024-09,2138.0
C00004,2024-10,51845.939999999995
C00004,2024-12,1315.62
C00004,2025-01,4500.15
C00004,2025-02,481.58
C00004,2025-03,2075.68
C00004,2025-06,8589.03
C00004,2025-08,24532.26
C00004,2025-09,2020.94
C00004,2025-10,2678.71
C00004,2025-11,8677.29
C00004,2025-12,63321.759999999995
C00005,2024-01,1985.52
C00005,2024-02,1284.6
C00005,2024-03,1321.58
C00005,2024-04,5522.07
C00005,2024-05,66125.45
C00005,2024-06,2465.78
C00005,2024-07,82667.11
C00005,2024-08,1190.51
C00005,2024-10,13731.720000000001
C00005,2024-11,8663.14
C00005,2024-12,3694.86
C00005,2025-01,42226.03999999999
C00005,2025-02,2802.38
C00005,2025-04,10523.439999999999
C00005,2025-05,119150.66
C00005,2025-06,67627.21
C00005,2025-08,10800.46
C00005,2025-09,2320.07
C00005,2025-10,48139.25
C00005,2025-11,2243.65
C00005,2025-12,16242.58
C00006,2024-02,19404.27
C00006,2024-03,23439.25
C00006,2024-04,41274.68
C00006,2024-05,10828.33
C00006,2024-07,13482.83
C00006,2024-08,61689.09
C00006,2024-09,6540.96
C00006,2024-10,1214.9
C00006,2024-11,4546.24
C00006,2024-12,949.3
C00006,2025-01,906.35
C00006,2025-03,12382.96
C00006,2025-04,9771.5
C00006,2025-05,2030.64
C00006,2025-06,3327.42
C00006,2025-07,16244.92
C00006,2025-08,43959.200000000004
C00006,2025-09,880.15
C00006,2025-10,8066.5
C00006,2025-11,2188.4
C00007,2024-02,44896.21
C00007,2024-03,983.2
C00007,2024-04,11127.5
C00007,2024-05,4995.03
C00007,2024-06,9869.03
C00007,2024-07,5395.4400000000005
C00007,2024-08,1071.64
C00007,2024-09,15643.75
C00007,2024-10,3196.47
C00007,2024-11,13083.470000000001
C00007,2024-12,22093.32
C00007,2025-01,47793.53
C00007,2025-02,12741.98
C00007,2025-03,10604.49
C00007,2025-04,1112.13
C00007,2025-05,5451.38
C00007,2025-06,19190.22
C00007,2025-07,2829.75
C00007,2025-08,22924.079999999998
C00007,2025-09,4447.13
C00007,2025-10,5291.23
C00007,2025-12,480.03
C00008,2024-01,439.89
C00008,2024-02,2368.8
C00008,2024-03,34686.509999999995
C00008,2024-04,2105.73
C00008,2024-06,2024.05
C00008,2024-07,39001.880000000005
C00008,2024-08,59910.91
C00008,2024-09,19908.37
C00008,2024-12,24393.78
C00008,2025-02,2934.96
C00008,2025-03,24345.420000000002
C00008,2025-04,39500.74
C00008,2025-06,730.5
C00008,2025-07,343.3
C00008,2025-08,2259.95
C00008,2025-09,14702.689999999999
C00008,2025-11,16710.97
C00008,2025-12,5411.09
C00009,2024-01,20177.57
