customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C00001,8,39,300829.65,4,4,3,443,Loyal
C00002,98,33,302059.2,1,2,3,123,At Risk
C00003,1,40,217947.38,5,4,1,541,Loyal
C00004,5,38,325621.95,5,4,3,543,Loyal
C00005,12,43,510728.08,3,5,5,355,Loyal
C00006,36,35,283127.89,1,3,2,132,Regular
C00007,4,46,265221.01,5,5,2,552,Loyal
C00008,10,32,291779.54,4,2,3,423,New
C00009,8,26,282219.21,4,1,2,412,New
C00010,61,32,186052.68,1,2,1,121,At Risk
C00011,16,37,338523.04000000004,3,4,4,344,Loyal
C00012,15,34,284804.15,3,2,2,322,Regular
C00013,39,36,439348.08,1,3,5,135,Regular
C00014,6,39,385217.41,4,4,4,444,Champions
C00015,24,31,177402.66,2,2,1,221,At Risk
C00016,17,36,428766.45999999996,3,3,5,335,Loyal
C00017,16,33,270551.05,3,2,2,322,Regular
C00018,41,27,317102.94,1,1,3,113,At Risk
C00019,22,34,389965.23,2,2,4,224,At Risk
C00020,1,25,230671.69,5,1,1,511,New
C00021,11,28,279217.27999999997,4,1,2,412,New
C00022,24,35,366236.57,2,3,4,234,Regular
C00023,5,31,380325.18,5,2,4,524,New
C00024,25,31,361250.51,2,2,4,224,At Risk
C00025,34,39,251603.63999999998,2,4,2,242,Regular
C00026,1,29,310169.93,5,1,3,513,New
C00027,30,31,226403.66,2,2,1,221,At Risk
C00028,4,33,324253.2,5,2,3,523,New
C00029,24,43,345634.37,2,5,4,254,Regular
C00030,4,29,315229.81,5,1,3,513,New
C00031,24,24,315749.38,2,1,3,213,At Risk
C00032,33,39,254090.12,2,4,2,242,Regular
C00033,120,23,192780.6,1,1,1,111,At Risk
C00034,15,33,399903.0,3,2,5,325,Regular
C00035,22,38,370188.66,2,4,4,244,Regular
C00036,29,35,456576.07,2,3,5,235,Regular
C00037,7,36,342907.76,4,3,4,434,Loyal
C00038,65,31,305320.82,1,2,3,123,At Risk
C00039,12,30,249217.2,3,1,2,312,Regular
C00040,24,42,328710.1,2,5,3,253,Regular
C00041,2,41,395264.58,5,5,5,555,Champions
