customer_id,merchant_category,amount
C00001,Bills & Utilities,19214.52
C00001,Dining,5168.9400000000005
C00001,Electronics,85727.49
C00001,Entertainment,5340.85
C00001,Fashion,46224.07
C00001,Fuel,17527.6
C00001,Groceries,3332.16
C00001,Healthcare,56287.33
C00001,Online Shopping,24703.010000000002
C00001,Travel,37303.68
C00002,Bills & Utilities,10166.7
C00002,Dining,4284.79
C00002,Electronics,120829.87
C00002,Entertainment,7543.360000000001
C00002,Fashion,49002.649999999994
C00002,Fuel,2166.45
C00002,Groceries,3007.95
C00002,Healthcare,24512.89
C00002,Online Shopping,40227.700000000004
C00002,Travel,40316.84
C00003,Bills & Utilities,18137.21
C00003,Dining,8869.65
C00003,Electronics,12863.61
C00003,Entertainment,3925.5299999999997
C00003,Fashion,33167.09
C00003,Fuel,7199.22
C00003,Groceries,6580.14
C00003,Healthcare,60813.67
C00003,Online Shopping,12942.050000000001
C00003,Travel,53449.21
C00004,Bills & Utilities,12184.52
C00004,Dining,7490.65
C00004,Electronics,94286.63
C00004,Entertainment,12376.51
C00004,Fashion,11671.35
C00004,Fuel,2119.22
C00004,Groceries,6352.7699999999995
C00004,Healthcare,18918.629999999997
C00004,Online Shopping,38265.08
C00004,Travel,121956.59
C00005,Bills & Utilities,27608.93
C00005,Dining,6519.79
C00005,Electronics,241096.16
C00005,Entertainment,8435.52
C00005,Fashion,5364.23
C00005,Fuel,12587.91
C00005,Groceries,3637.6400000000003
C00005,Healthcare,85804.05
C00005,Online Shopping,42261.86
C00005,Travel,77411.98999999999
C00006,Bills & Utilities,20156.82
C00006,Dining,1453.53
C00006,Electronics,80405.32999999999
C00006,Entertainment,8245.32
C00006,Fashion,21467.55
C00006,Fuel,9349.1
C00006,Groceries,6966.570000000001
C00006,Healthcare,22731.690000000002
C00006,Online Shopping,21328.629999999997
C00006,Travel,91023.35
C00007,Bills & Utilities,8647.85
C00007,Dining,9185.93
C00007,Electronics,47793.53
C00007,Entertainment,17914.6
C00007,Fashion,40290.47
C00007,Fuel,13813.22
C00007,Groceries,9103.7
C00007,Healthcare,28325.37
C00007,Online Shopping,7421.83
C00007,Travel,82724.51000000001
C00008,Bills & Utilities,6081.89
C00008,Dining,2754.5499999999997
C00008,Electronics,90304.23
C00008,Entertainment,5626.110000000001
C00008,Fashion,6874.45
C00008,Fuel,6171.43
C00008,Groceries,2629.5
C00008,Healthcare,27736.61
C00008,Online Shopping,7230.17
C00008,Travel,136370.6
C00009,Bills & Utilities,6007.38
C00009,Dining,2623.32
C00009,Electronics,82915.49
C00009,Entertainment,2810.24
C00009,Fashion,27929.66
C00009,Fuel,4652.01
C00009,Groceries,1871.49
C00009,Healthcare,26266.350000000002
C00009,Online Shopping,41439.66
C00009,Travel,85703.61
C00010,Bills & Utilities,19487.22
C00010,Dining,5059.9400000000005
C00010,Electronics,31581.52
C00010,Entertainment,11359.2
C00010,Fashion,57020.78
C00010,Fuel,6360.84
C00010,Groceries,3595.56
C00010,Healthcare,16672.56
C00010,Online Shopping,12197.81
C00010,Travel,22717.25
C00011,Bills & Utilities,8852.4
C00011,Dining,5275.18
C00011,Electronics,114831.47
C00011,Entertainment,7978.62
C00011,Fashion,20934.030000000002
C00011,Fuel,14448.71
C00011,Groceries,2250.0299999999997
C00011,Healthcare,31910.89
C00011,Online Shopping,50832.12
C00011,Travel,81209.59
C00012,Bills & Utilities,9351.29
C00012,Dining,9528.74
C00012,Electronics,111848.68
C00012,Entertainment,3039.21
C00012,Fashion,25843.620000000003
C00012,Fuel,9515.5
C00012,Groceries,2966.56
C00012,Healthcare,29465.59
C00012,Online Shopping,38413.86
C00012,Travel,44831.1
C00013,Bills & Utilities,1508.73
C00013,Dining,1091.34
C00013,Electronics,208321.62
C00013,Entertainment,2334.9
C00013,Fashion,24255.190000000002
C00013,Fuel,6262.87
C00013,Healthcare,29923.350000000002
C00013,Online Shopping,53494.78
C00013,Travel,112155.3
C00014,Dining,2163.24
C00014,Electronics,141237.49
C00014,Entertainment,12173.01
C00014,Fashion,19472.94
C00014,Fuel,13843.74
C00014,Groceries,8677.17
C00014,Healthcare,55485.34
C00014,Online Shopping,30738.42
C00014,Travel,101426.06
C00015,Bills & Utilities,16078.449999999999
C00015,Dining,3621.7999999999997
C00015,Electronics,24829.34
C00015,Entertainment,11320.39
C00015,Fashion,29062.89
C00015,Fuel,11670.21
C00015,Groceries,1097.98
C00015,Healthcare,19431.47
C00015,Online Shopping,6874.32
C00015,Travel,53415.81
C00016,Bills & Utilities,12768.33
C00016,Dining,3485.82
C00016,Electronics,247489.47
C00016,Entertainment,6490.07
C00016,Fashion,15442.59
C00016,Fuel,6805.04
C00016,Groceries,5448.99
C00016,Healthcare,40438.64
C00016,Online Shopping,38522.97
C00016,Travel,51874.54
C00017,Bills & Utilities,30169.67
C00017,Dining,4646.16
C00017,Electronics,66025.75
C00017,Entertainment,6648.67
C00017,Fashion,10427.74
C00017,Fuel,3126.15
C00017,Groceries,6559.66
C00017,Healthcare,43789.229999999996
C00017,Online Shopping,49636.0
C00017,Travel,49522.020000000004
C00018,Bills & Utilities,10922.93
C00018,Dining,4346.4
C00018,Electronics,105999.92
C00018,Entertainment,7084.5
C00018,Fuel,2621.99
C00018,Groceries,9422.99
C00018,Healthcare,23868.329999999998
C00018,Online Shopping,29873.54
C00018,Travel,122962.34
C00019,Bills & Utilities,12640.789999999999
C00019,Dining,3351.73
C00019,Electronics,151603.68
C00019,Entertainment,4052.52
C00019,Fashion,22557.35
C00019,Fuel,9466.470000000001
C00019,Groceries,1929.74
C00019,Healthcare,23174.82
C00019,Online Shopping,63814.07
C00019,Travel,97374.06
C00020,Bills & Utilities,10273.99
C00020,Dining,5322.610000000001
C00020,Electronics,149566.26
C00020,Entertainment,8212.94
C00020,Fashion,11772.079999999998
C00020,Groceries,660.27
C00020,Healthcare,2013.48
C00020,Online Shopping,12402.67
C00020,Travel,30447.39
C00021,Bills & Utilities,4978.53
C00021,Dining,4714.15
C00021,Electronics,140624.09
C00021,Entertainment,8772.03
C00021,Fashion,36991.21
C00021,Fuel,5047.46
C00021,Groceries,8223.74
C00021,Healthcare,20674.84
C00021,Travel,49191.23
C00022,Bills & Utilities,14071.82
C00022,Dining,5858.75
C00022,Electronics,146568.14
C00022,Entertainment,3095.73
C00022,Fashion,46775.88
C00022,Fuel,3935.73
C00022,Groceries,8318.66
C00022,Healthcare,52245.95
C00022,Online Shopping,27936.4
C00022,Travel,57429.51
C00023,Bills & Utilities,3643.35
C00023,Dining,3287.9300000000003
C00023,Electronics,168377.0
C00023,Entertainment,8153.9400000000005
C00023,Fuel,7650.139999999999
C00023,Groceries,5598.35
C00023,Healthcare,55349.09
C00023,Online Shopping,52160.36
C00023,Travel,76105.02
C00024,Bills & Utilities,24846.75
C00024,Dining,6027.55
C00024,Electronics,193797.32
C00024,Entertainment,2549.86
C00024,Fashion,11258.52
C00024,Fuel,2882.7400000000002
C00024,Groceries,8568.45
C00024,Healthcare,24064.08
C00024,Online Shopping,32274.989999999998
C00024,Travel,54980.25
C00025,Bills & Utilities,11633.130000000001
C00025,Dining,5841.27
C00025,Electronics,63316.509999999995
C00025,Entertainment,10700.55
C00025,Fashion,13699.53
C00025,Fuel,19012.35
C00025,Groceries,10069.23
C00025,Healthcare,40198.56
C00025,Online Shopping,60589.07000000001
C00025,Travel,16543.44
C00026,Bills & Utilities,25484.120000000003
C00026,Dining,3479.48
C00026,Electronics,119664.64
C00026,Entertainment,8751.17
C00026,Fashion,16797.03
