transaction_id,customer_id,merchant_id,merchant_category,transaction_date,amount
T0000001,C00001,M0048,Travel,2025-09-16,22441.08
T0000002,C00001,M0071,Electronics,2024-11-03,10771.58
T0000003,C00001,M0025,Dining,2025-11-23,775.64
T0000004,C00001,M0025,Dining,2024-06-11,371.55
T0000005,C00001,M0099,Bills & Utilities,2024-08-15,7135.36
T0000006,C00001,M0125,Entertainment,2024-02-12,901.84
T0000007,C00001,M0019,Dining,2024-12-11,1269.37
T0000008,C00001,M0131,Entertainment,2024-12-09,1916.44
T0000009,C00001,M0106,Healthcare,2024-09-19,6745.84
T0000010,C00001,M0077,Fashion,2024-08-04,8668.57
T0000011,C00001,M0008,Groceries,2024-06-13,684.97
T0000012,C00001,M0066,Electronics,2024-01-03,37183.72
T0000013,C00001,M0079,Fashion,2025-10-24,5954.14
T0000014,C00001,M0049,Travel,2025-10-02,2696.14
T0000015,C00001,M0101,Bills & Utilities,2024-10-09,3186.2
T0000016,C00001,M0084,Fashion,2025-01-28,11380.12
T0000017,C00001,M0080,Fashion,2025-03-03,9402.93
T0000018,C00001,M0038,Fuel,2025-08-07,1806.57
T0000019,C00001,M0056,Travel,2024-04-22,7686.2
T0000020,C00001,M0033,Fuel,2025-04-19,1712.58
T0000021,C00001,M0107,Healthcare,2024-12-11,17106.3
T0000022,C00001,M0063,Electronics,2024-05-06,37772.19
T0000023,C00001,M0145,Online Shopping,2025-11-20,1788.11
T0000024,C00001,M0003,Groceries,2025-08-24,2647.19
T0000025,C00001,M0110,Healthcare,2024-08-08,17835.08
T0000026,C00001,M0089,Fashion,2024-06-22,10818.31
T0000027,C00001,M0099,Bills & Utilities,2024-04-11,4409.65
T0000028,C00001,M0135,Entertainment,2024-03-30,2522.57
T0000029,C00001,M0106,Healthcare,2024-07-09,14600.11
T0000030,C00001,M0032,Fuel,2025-12-23,3898.52
T0000031,C00001,M0060,Travel,2024-09-02,4480.26
T0000032,C00001,M0036,Fuel,2024-09-06,3721.94
T0000033,C00001,M0137,Online Shopping,2025-09-24,17561.29
T0000034,C00001,M0031,Fuel,2025-07-20,3860.72
T0000035,C00001,M0146,Online Shopping,2024-09-16,5353.61
T0000036,C00001,M0094,Bills & Utilities,2025-05-02,4483.31
T0000037,C00001,M0044,Fuel,2025-02-08,2527.27
T0000038,C00001,M0029,Dining,2024-10-29,1966.9
T0000039,C00001,M0026,Dining,2025-07-15,785.48
T0000040,C00002,M0046,Travel,2025-08-18,8453.9
T0000041,C00002,M0084,Fashion,2025-05-20,11610.23
T0000042,C00002,M0044,Fuel,2025-07-12,807.19
T0000043,C00002,M0015,Groceries,2024-08-12,1213.04
T0000044,C00002,M0084,Fashion,2025-05-26,10329.71
T0000045,C00002,M0144,Online Shopping,2024-09-04,12292.82
T0000046,C00002,M0085,Fashion,2024-10-13,13765.74
T0000047,C00002,M0029,Dining,2024-03-17,1469.84
T0000048,C00002,M0070,Electronics,2025-03-06,28761.95
T0000049,C00002,M0128,Entertainment,2025-01-15,1223.06
T0000050,C00002,M0011,Groceries,2024-03-29,478.73
T0000051,C00002,M0128,Entertainment,2024-01-10,731.34
T0000052,C00002,M0141,Online Shopping,2025-06-25,17442.49
T0000053,C00002,M0133,Entertainment,2024-02-15,780.89
T0000054,C00002,M0014,Groceries,2025-06-10,1316.18
T0000055,C00002,M0103,Bills & Utilities,2024-09-22,2970.8
T0000056,C00002,M0026,Dining,2025-09-24,918.03
T0000057,C00002,M0144,Online Shopping,2025-01-09,9056.37
T0000058,C00002,M0138,Online Shopping,2024-10-20,1436.02
T0000059,C00002,M0078,Fashion,2024-12-11,13296.97
T0000060,C00002,M0113,Healthcare,2025-02-25,8838.23
T0000061,C00002,M0039,Fuel,2024-03-17,1359.26
T0000062,C00002,M0117,Healthcare,2024-01-19,15674.66
T0000063,C00002,M0025,Dining,2025-07-21,614.32
T0000064,C00002,M0021,Dining,2025-03-17,754.92
T0000065,C00002,M0057,Travel,2024-03-04,31862.94
T0000066,C00002,M0018,Dining,2025-06-14,527.68
T0000067,C00002,M0123,Entertainment,2024-12-02,1736.41
T0000068,C00002,M0101,Bills & Utilities,2024-09-07,7195.9
T0000069,C00002,M0067,Electronics,2024-08-05,52860.55
T0000070,C00002,M0127,Entertainment,2025-02-17,1768.65
T0000071,C00002,M0121,Entertainment,2025-02-13,1303.01
T0000072,C00002,M0070,Electronics,2024-08-26,39207.37
T0000073,C00003,M0014,Groceries,2024-03-07,783.48
T0000074,C00003,M0109,Healthcare,2024-09-01,976.34
T0000075,C00003,M0105,Bills & Utilities,2024-06-08,5784.32
T0000076,C00003,M0023,Dining,2024-08-04,1452.59
T0000077,C00003,M0030,Dining,2025-02-06,2354.58
T0000078,C00003,M0042,Fuel,2024-08-01,791.26
T0000079,C00003,M0097,Bills & Utilities,2024-01-19,2642.21
T0000080,C00003,M0040,Fuel,2024-06-04,1718.27
T0000081,C00003,M0113,Healthcare,2025-11-21,8119.56
T0000082,C00003,M0100,Bills & Utilities,2025-09-13,7488.14
T0000083,C00003,M0023,Dining,2024-07-11,1968.72
T0000084,C00003,M0132,Entertainment,2025-12-03,494.88
T0000085,C00003,M0006,Groceries,2024-10-15,614.27
T0000086,C00003,M0055,Travel,2025-12-30,39629.49
T0000087,C00003,M0120,Healthcare,2024-07-20,1096.64
T0000088,C00003,M0136,Online Shopping,2025-07-14,4593.93
